OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
895,1432085,2506,2,FORGERY,475(A)PC POSS FORGED CHK/NOTE,6,6D,841,2020-01-13T00:06:23.000Z
1061,1432419,2604,43,FRAUD,530.5(A) GET CRED W/OTH ID-MIS,5,5B,1633,2020-01-06T00:13:00.000Z
1155,1432655,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,5,5C,1654,2020-01-06T00:08:00.000Z
1198,1432741,2602,0,FRAUD,FRAUD-SWINDLE,6,6D,851,2020-01-16T00:08:00.000Z
1272,1432915,2605,3,FRAUD,484E(C)PC POSS CARD W/O CONSNT,1,1A,103,2020-01-16T00:13:54.000Z
1415,1433196,2606,2,FRAUD,476A(A) NSF CHECKS < $950,5,5A,1396,2020-01-19T00:13:32.000Z
1552,1433453,2602,0,FRAUD,FRAUD-SWINDLE,5,5A,1361,2020-01-19T00:11:45.000Z
1558,1433459,2602,0,FRAUD,FRAUD-SWINDLE,2,2A,231,2020-01-19T00:15:00.000Z
1676,1433700,2602,0,FRAUD,FRAUD-SWINDLE,3,3B,747,2020-01-19T00:15:35.000Z
1718,1433773,2604,43,FRAUD,530.5(A) GET CRED W/OTH ID-MIS,5,5C,1605,2020-01-22T00:01:32.000Z
1767,1433868,2602,0,FRAUD,FRAUD-SWINDLE,3,3A,725,2020-01-17T00:17:45.000Z
1770,1433874,2602,0,FRAUD,FRAUD-SWINDLE,6,6A,1014,2020-01-16T00:12:00.000Z
1781,1433892,2602,0,FRAUD,FRAUD-SWINDLE,3,3A,724,2020-01-23T00:08:30.000Z
1787,1433903,2604,43,FRAUD,530.5(A) GET CRED W/OTH ID-MIS,2,2A,515,2020-01-21T00:20:00.000Z
1796,1433915,2699,28,FRAUD,537(A)(1) DEFRAD INNKEEP <$400,1,1A,337,2020-01-22T00:20:30.000Z
1978,1434576,2602,0,FRAUD,FRAUD-SWINDLE,6,6C,1143,2020-01-08T00:00:00.000Z
8,1429872,2699,8,FRAUD,587C PC EVADE PAYMENT RAILFARE,3,3A,765,2020-01-01T00:13:01.000Z
109,1430302,2604,0,FRAUD,529 PC FALSE PERSONATION,4,4A,906,2020-01-03T00:09:47.000Z
217,1430591,2699,8,FRAUD,587C PC EVADE PAYMENT RAILFARE,2,2B,556,2020-01-04T00:20:43.000Z
269,1430694,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,5,5A,1391,2020-01-06T00:08:00.000Z
281,1430737,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,1,1B,401,2020-01-05T00:21:40.000Z
300,1430780,2604,0,FRAUD,529 PC FALSE PERSONATION,6,6B,1421,2020-01-05T00:19:24.000Z
301,1430783,2699,28,FRAUD,537(A)(1) DEFRAD INNKEEP <$400,3,3M,741,2020-01-06T00:20:13.000Z
335,1430866,2602,0,FRAUD,FRAUD-SWINDLE,4,4B,1356,2020-01-07T00:14:30.000Z
404,1431038,2602,0,FRAUD,FRAUD-SWINDLE,4,4A,912,2020-01-07T00:14:53.000Z
474,1431176,2602,0,FRAUD,FRAUD-SWINDLE,6,6B,1088,2020-01-07T00:13:10.000Z
538,1431300,2604,43,FRAUD,530.5(A) GET CRED W/OTH ID-MIS,4,4A,907,2020-01-08T00:10:20.000Z
545,1431317,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,4,4C,1282,2020-01-08T00:08:00.000Z
554,1431349,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,6,6C,1113,2020-01-09T00:14:26.000Z
623,1431488,2602,0,FRAUD,FRAUD-SWINDLE,5,5C,1654,2020-01-09T00:10:20.000Z
625,1431494,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,5,5B,1614,2020-01-09T00:16:00.000Z
827,1431973,2602,0,FRAUD,FRAUD-SWINDLE,1,1A,103,2020-01-09T00:10:00.000Z
983,1432256,2602,0,FRAUD,FRAUD-SWINDLE,1,1A,136,2020-01-11T00:11:00.000Z
2016,1434923,2602,0,FRAUD,FRAUD-SWINDLE,6,6C,1422,2020-01-07T00:15:00.000Z
2018,1434936,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,4,4B,968,2020-01-16T00:12:00.000Z
2087,1435520,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,2,2B,563,2020-01-23T00:06:00.000Z
2146,1436379,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,3,3B,746,2020-01-22T00:08:00.000Z
1810,1433953,5599,3,HEALTH/SAFETY,381B PC POSS NITROUS W/INTENT,4,4C,1287,2020-01-23T00:13:01.000Z
1038,1432355,999,1,HOMICIDE,187(A) HOMICIDE,5,5C,1654,2020-01-14T00:15:44.000Z
1504,1433371,999,11,HOMICIDE,664/187(A) ATTEMPTED HOMICIDE,2,2A,237,2020-01-19T00:19:41.000Z
20,1429918,999,1,HOMICIDE,187(A) HOMICIDE,2,2B,563,2020-01-01T00:14:54.000Z
254,1430663,999,1,HOMICIDE,187(A) HOMICIDE,2,2B,545,2020-01-05T00:23:16.000Z
1211,1432766,7000,43A,IMPOUND,IMPOUNDED VEHICLE,5,5C,1623,2020-01-15T00:19:23.000Z
1625,1433606,7000,43A,IMPOUND,IMPOUNDED VEHICLE,2,2A,237,2020-01-19T00:21:53.000Z
1388,1433159,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,1,1C,429,2020-01-02T00:09:45.000Z
1389,1433160,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,4,4A,906,2020-01-02T00:08:30.000Z
1449,1433279,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,3,3A,701,2020-01-03T00:09:31.000Z
1653,1433659,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,5,5A,1363,2020-01-04T00:15:13.000Z
1948,1434371,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,2,2A,511,2020-01-06T00:21:10.000Z
1949,1434373,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,2,2B,545,2020-01-06T00:14:34.000Z
1950,1434374,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,4,4B,1336,2020-01-06T00:16:15.000Z
2104,1435750,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,1,1A,327,2020-01-11T00:16:10.000Z
2148,1436402,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,6,6E,1116,2020-01-14T00:22:54.000Z
2162,1436576,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,6,6B,1064,2020-01-15T00:01:45.000Z
2166,1436588,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,6,6B,1018,2020-01-15T00:17:46.000Z
1002,1432286,2399,2,LARCENY,484 PC PETTY THEFT,6,6C,1111,2020-01-12T00:22:00.000Z
1004,1432290,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,619,2020-01-09T00:16:45.000Z
1006,1432294,2399,2,LARCENY,484 PC PETTY THEFT,5,5C,1623,2020-01-09T00:16:35.000Z
1012,1432310,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,4,4B,1344,2020-01-13T00:22:00.000Z
1013,1432311,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3A,723,2020-01-14T00:02:30.000Z
1014,1432312,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6A,1015,2020-01-13T00:09:15.000Z
1017,1432315,2399,2,LARCENY,484 PC PETTY THEFT,1,1C,437,2020-01-14T00:09:00.000Z
1018,1432316,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,234,2020-01-11T00:01:55.000Z
1027,1432337,2399,2,LARCENY,484 PC PETTY THEFT,5,5B,1603,2020-01-11T00:09:23.000Z
1028,1432338,2399,2,LARCENY,484 PC PETTY THEFT,5,5B,1618,2020-01-12T00:14:00.000Z
1030,1432341,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,123,2020-01-14T00:11:40.000Z
1031,1432343,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,619,2020-01-11T00:16:14.000Z
1032,1432344,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,619,2020-01-11T00:16:10.000Z
1034,1432346,2399,2,LARCENY,484 PC PETTY THEFT,4,4B,1356,2020-01-14T00:12:50.000Z
1050,1432391,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,2,2C,614,2020-01-13T00:09:00.000Z
1055,1432407,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,619,2020-01-06T00:18:58.000Z
1067,1432447,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,223,2020-01-12T00:09:00.000Z
1070,1432450,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3M,742,2020-01-14T00:22:09.000Z
1071,1432451,2303,2,LARCENY,487(A) GRAND THEFT-SHOPLIFT,5,5C,1606,2020-01-14T00:12:03.000Z
1072,1432452,2301,0A,LARCENY,487(C) GRAND THEFT-PERS <$950,3,3A,706,2020-01-14T00:17:40.000Z
1073,1432454,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,1,1B,410,2020-01-14T00:20:40.000Z
1077,1432461,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5B,1602,2020-01-15T00:08:30.000Z
1083,1432475,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,742,2020-01-14T00:17:45.000Z
1088,1432482,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,902,2020-01-15T00:00:00.000Z
1090,1432484,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,232,2020-01-15T00:09:11.000Z
1091,1432485,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1B,411,2020-01-14T00:15:57.000Z
1100,1432502,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3B,766,2020-01-15T00:10:00.000Z
1101,1432506,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1036,2020-01-15T00:14:42.000Z
1102,1432507,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,2,2A,507,2020-01-10T00:11:30.000Z
1147,1432645,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5B,1621,2020-01-09T00:12:00.000Z
1154,1432654,2399,2,LARCENY,484 PC PETTY THEFT,6,6D,851,2020-01-09T00:15:05.000Z
1156,1432656,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1265,2020-01-13T00:10:30.000Z
1158,1432663,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,704,2020-01-14T00:14:45.000Z
1163,1432669,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,412,2020-01-15T00:18:00.000Z
1172,1432687,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1401,2020-01-14T00:11:11.000Z
1173,1432690,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3B,746,2020-01-15T00:10:25.000Z
1174,1432691,2399,2,LARCENY,484 PC PETTY THEFT,5,5C,1647,2020-01-10T00:11:30.000Z
1175,1432692,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1292,2020-01-09T00:13:45.000Z
1178,1432697,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4A,923,2020-01-15T00:18:00.000Z
1182,1432710,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,5,5B,1367,2020-01-15T00:09:00.000Z
1187,1432720,2310,0,LARCENY,1708 US THEFT OF MAIL,4,4C,1247,2020-01-16T00:13:00.000Z
1188,1432721,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,5,5B,1618,2020-01-15T00:21:00.000Z
1202,1432747,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,443,2020-01-09T00:17:30.000Z
1213,1432770,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,1204,2020-01-16T00:06:30.000Z
1226,1432799,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3M,752,2020-01-13T00:15:30.000Z
1227,1432801,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1067,2020-01-16T00:17:40.000Z
1228,1432802,2310,0,LARCENY,1708 US THEFT OF MAIL,6,6A,1015,2020-01-13T00:09:17.000Z
1229,1432803,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,628,2020-01-16T00:16:50.000Z
1230,1432804,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,735,2020-01-15T00:18:30.000Z
1241,1432825,2301,0A,LARCENY,487(C) GRAND THEFT-PERS <$950,2,2C,602,2020-01-16T00:13:27.000Z
1243,1432830,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5C,1606,2020-01-16T00:15:44.000Z
1254,1432872,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5B,1621,2020-01-15T00:09:00.000Z
1286,1432940,2399,32,LARCENY,487(D)(2) GRAND THFT GUN <$950,4,4C,1251,2020-01-08T00:03:00.000Z
1293,1432964,2399,5,LARCENY,484 PC THEFT-LIC PLATE TABS,5,5A,1522,2020-01-16T00:23:42.000Z
1296,1432980,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,4,4A,937,2020-01-16T00:00:10.000Z
1302,1432986,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,4,4A,904,2020-01-12T00:00:00.000Z
1306,1432993,2399,2,LARCENY,484 PC PETTY THEFT,4,4B,958,2020-01-16T00:17:30.000Z
1316,1433019,2301,0A,LARCENY,487(C) GRAND THEFT-PERS <$950,5,5C,1623,2020-01-17T00:18:00.000Z
1320,1433035,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6B,1005,2020-01-17T00:18:30.000Z
1327,1433049,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5A,1506,2020-01-17T00:17:30.000Z
1335,1433060,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,301,2020-01-06T00:08:55.000Z
1339,1433068,2310,0,LARCENY,1708 US THEFT OF MAIL,6,6B,1004,2020-01-14T00:18:35.000Z
1340,1433069,2399,24,LARCENY,484 PC PETTY THFT-RECYCL METAL,6,6B,1084,2020-01-17T00:17:30.000Z
1344,1433075,2310,0,LARCENY,1708 US THEFT OF MAIL,4,4A,937,2020-01-16T00:17:52.000Z
1352,1433096,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5C,1654,2020-01-17T00:19:50.000Z
1360,1433105,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1B,468,2020-01-13T00:17:00.000Z
1382,1433147,2399,2,LARCENY,484 PC PETTY THEFT,6,6D,841,2020-01-09T00:10:38.000Z
1384,1433149,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5C,1605,2020-01-18T00:15:51.000Z
1408,1433182,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4A,905,2020-01-19T00:09:00.000Z
1409,1433183,2399,31,LARCENY,487(D)(2) GRAND THFT GUN >$950,5,5A,1504,2020-01-18T00:22:00.000Z
1416,1433197,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1391,2020-01-19T00:16:00.000Z
1422,1433211,2304,0,LARCENY,484 PC PETTY THEFT AUTO PART,5,5A,1391,2020-01-18T00:12:20.000Z
1428,1433221,2308,1,LARCENY,487(A) GRAND THEFT-INSIDE,2,2A,504,2020-01-18T00:15:00.000Z
1437,1433256,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,628,2020-01-17T00:18:05.000Z
1447,1433276,2399,2,LARCENY,484 PC PETTY THEFT,6,6D,802,2020-01-17T00:08:00.000Z
1450,1433280,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6D,825,2020-01-19T00:22:00.000Z
1458,1433291,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6A,1061,2020-01-20T00:13:45.000Z
1461,1433296,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,785,2020-01-14T00:00:00.000Z
1467,1433317,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,212,2020-01-06T00:14:00.000Z
1469,1433319,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,232,2020-01-17T00:11:38.000Z
1471,1433321,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,6,6C,1141,2020-01-19T00:11:30.000Z
1472,1433322,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,620,2020-01-17T00:12:24.000Z
1475,1433325,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6A,1013,2020-01-20T00:11:00.000Z
1476,1433326,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,6,6A,1014,2020-01-18T00:22:20.000Z
1480,1433330,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,734,2020-01-19T00:23:13.000Z
1481,1433331,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,732,2020-01-18T00:04:00.000Z
1482,1433332,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,232,2020-01-18T00:09:31.000Z
1486,1433337,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,3,3M,742,2020-01-20T00:14:10.000Z
1487,1433345,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,623,2020-01-18T00:16:08.000Z
1489,1433347,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,5,5C,1654,2020-01-18T00:22:00.000Z
1492,1433350,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,338,2020-01-20T00:13:21.000Z
1493,1433351,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,933,2020-01-03T00:12:35.000Z
1494,1433354,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,742,2020-01-18T00:21:10.000Z
1498,1433362,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5A,1522,2020-01-20T00:14:00.000Z
1508,1433377,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,6,6A,1015,2020-01-20T00:19:01.000Z
1532,1433430,2310,0,LARCENY,1708 US THEFT OF MAIL,5,5C,1635,2020-01-18T00:12:00.000Z
1538,1433437,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,611,2020-01-18T00:18:21.000Z
1539,1433438,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,232,2020-01-20T00:12:14.000Z
1540,1433439,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1522,2020-01-18T00:14:00.000Z
1543,1433444,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,4,4A,1206,2020-01-18T00:09:10.000Z
1554,1433455,2399,31,LARCENY,487(D)(2) GRAND THFT GUN >$950,6,6A,1014,2020-01-13T00:13:25.000Z
1557,1433458,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,3,3A,785,2020-01-18T00:17:00.000Z
1560,1433463,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,4,4A,916,2020-01-19T00:23:00.000Z
1561,1433464,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,2,2A,226,2020-01-19T00:02:25.000Z
1568,1433471,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1B,440,2020-01-20T00:00:25.000Z
1569,1433472,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,4,4B,1353,2020-01-19T00:11:00.000Z
1592,1433541,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1385,2020-01-14T00:22:30.000Z
1593,1433543,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,232,2020-01-20T00:08:33.000Z
1594,1433547,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,746,2020-01-19T00:02:11.000Z
1598,1433556,2310,0,LARCENY,1708 US THEFT OF MAIL,6,6A,1001,2020-01-17T00:13:53.000Z
1604,1433569,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,328,2020-01-02T00:14:56.000Z
1605,1433572,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6E,876,2020-01-20T00:18:05.000Z
1606,1433577,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1401,2020-01-21T00:07:45.000Z
1608,1433579,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6D,801,2020-01-01T00:10:05.000Z
1615,1433595,2310,0,LARCENY,1708 US THEFT OF MAIL,5,5C,1637,2020-01-06T00:11:40.000Z
1617,1433597,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,4,4A,917,2020-01-17T00:21:00.000Z
1622,1433603,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,441,2020-01-20T00:12:00.000Z
1657,1433668,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,620,2020-01-20T00:19:02.000Z
1658,1433669,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,776,2020-01-19T00:11:30.000Z
1659,1433670,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1279,2020-01-20T00:14:20.000Z
1660,1433671,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,619,2020-01-20T00:16:45.000Z
1661,1433681,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,348,2020-01-21T00:05:31.000Z
1662,1433682,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,704,2020-01-21T00:18:00.000Z
1663,1433684,2399,2,LARCENY,484 PC PETTY THEFT,5,5C,1607,2020-01-22T00:05:05.000Z
1664,1433685,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1361,2020-01-18T00:21:30.000Z
1665,1433686,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,6,6B,1018,2020-01-08T00:02:25.000Z
1668,1433689,2308,0,LARCENY,484 PC PETTY THEFT/INSIDE,1,1A,106,2020-01-21T00:12:00.000Z
1680,1433711,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,1,1A,145,2020-01-20T00:19:00.000Z
1682,1433719,2399,24,LARCENY,484 PC PETTY THFT-RECYCL METAL,4,4C,1298,2020-01-22T00:01:00.000Z
1683,1433726,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,787,2020-01-15T00:13:00.000Z
1684,1433727,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6B,1068,2020-01-19T00:00:01.000Z
1685,1433729,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1287,2020-01-20T00:15:38.000Z
1686,1433730,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1287,2020-01-06T00:20:29.000Z
1687,1433731,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1054,2020-01-22T00:10:35.000Z
1688,1433732,2399,2,LARCENY,484 PC PETTY THEFT,6,6A,1013,2020-01-22T00:07:00.000Z
1691,1433736,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,145,2020-01-21T00:21:00.000Z
1692,1433737,2399,5,LARCENY,484 PC THEFT-LIC PLATE TABS,3,3A,701,2020-01-22T00:14:00.000Z
1698,1433744,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6C,1447,2020-01-20T00:22:00.000Z
1701,1433751,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6C,1404,2020-01-22T00:15:00.000Z
1707,1433760,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3A,776,2020-01-21T00:09:10.000Z
1724,1433802,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,514,2020-01-18T00:10:00.000Z
1726,1433804,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6C,1409,2020-01-21T00:20:01.000Z
1728,1433807,2302,1,LARCENY,484 PETTY THEFT-PURSE SNATCH,5,5C,1624,2020-01-18T00:21:21.000Z
1731,1433816,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,5,5C,1647,2020-01-21T00:19:00.000Z
1732,1433817,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,4,4A,905,2020-01-20T00:00:00.000Z
1742,1433833,2304,0,LARCENY,484 PC PETTY THEFT AUTO PART,2,2B,563,2020-01-20T00:08:30.000Z
1746,1433837,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,776,2020-01-06T00:00:00.000Z
1747,1433838,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,619,2020-01-22T00:14:30.000Z
1751,1433843,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,5,5A,1383,2020-01-19T00:19:00.000Z
1758,1433852,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,2,2B,545,2020-01-23T00:01:45.000Z
1763,1433861,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,623,2020-01-20T00:10:05.000Z
1764,1433863,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,964,2020-01-15T00:14:45.000Z
1766,1433867,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,144,2020-01-06T00:11:50.000Z
1768,1433869,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6A,1081,2020-01-21T00:23:30.000Z
1782,1433894,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,747,2020-01-20T00:20:00.000Z
1798,1433925,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,224,2020-01-22T00:12:00.000Z
1800,1433931,2399,2,LARCENY,484 PC PETTY THEFT,6,6C,1113,2020-01-21T00:15:00.000Z
1802,1433934,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,115,2020-01-23T00:15:30.000Z
1806,1433946,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6E,878,2020-01-17T00:13:00.000Z
1807,1433947,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1017,2020-01-20T00:04:51.000Z
1818,1433965,2399,2,LARCENY,484 PC PETTY THEFT,6,6C,1113,2020-01-22T00:07:49.000Z
1819,1433966,2310,0,LARCENY,1708 US THEFT OF MAIL,2,2A,232,2020-01-17T00:18:20.000Z
1825,1433989,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1522,2020-01-19T00:19:00.000Z
1826,1433990,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1B,441,2020-01-16T00:08:00.000Z
1827,1433991,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1265,2020-01-10T00:12:45.000Z
1848,1434033,2301,0A,LARCENY,487(C) GRAND THEFT-PERS <$950,4,4B,976,2020-01-23T00:15:10.000Z
1849,1434035,2399,26,LARCENY,487F PETTY THEFT-DOG <$950,1,1B,403,2020-01-23T00:11:30.000Z
1853,1434044,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4A,918,2020-01-23T00:17:00.000Z
1855,1434046,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3A,762,2020-01-23T00:18:30.000Z
1858,1434049,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6C,1124,2020-01-22T00:07:00.000Z
1873,1434079,2310,0,LARCENY,1708 US THEFT OF MAIL,1,1B,475,2020-01-22T00:18:15.000Z
1874,1434080,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,902,2020-01-21T00:11:10.000Z
1875,1434081,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,4,4C,1263,2020-01-22T00:15:15.000Z
1876,1434088,2399,2,LARCENY,484 PC PETTY THEFT,6,6C,1132,2020-01-22T00:13:27.000Z
1877,1434090,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,603,2020-01-17T00:20:05.000Z
1878,1434091,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,727,2020-01-23T00:08:57.000Z
1880,1434100,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,5,5A,1522,2020-01-22T00:15:34.000Z
1881,1434101,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,727,2020-01-23T00:10:15.000Z
1882,1434102,2399,2,LARCENY,484 PC PETTY THEFT,6,6E,1116,2020-01-23T00:09:50.000Z
