OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
824,1431970,2299,1,BURGLARY,459 PC BURG VEHICLE,5,5C,1607,2020-01-09T00:18:55.000Z
826,1431972,2299,1,BURGLARY,459 PC BURG VEHICLE,6,6B,1068,2020-01-10T00:19:00.000Z
838,1431991,2299,1,BURGLARY,459 PC BURG VEHICLE,6,6B,1019,2020-01-10T00:23:55.000Z
839,1431993,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,4,4A,928,2020-01-10T00:10:30.000Z
841,1431997,2299,1,BURGLARY,459 PC BURG VEHICLE,1,1A,338,2020-01-10T00:11:15.000Z
845,1432004,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6D,856,2020-01-12T00:04:23.000Z
849,1432013,2299,1,BURGLARY,459 PC BURG VEHICLE,1,1B,440,2020-01-11T00:19:45.000Z
858,1432028,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,2,2A,232,2020-01-11T00:09:18.000Z
862,1432036,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,2,2A,232,2020-01-11T00:18:55.000Z
863,1432037,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,2,2A,232,2020-01-09T00:13:14.000Z
866,1432040,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4C,1296,2020-01-12T00:16:00.000Z
867,1432041,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5B,1621,2020-01-12T00:12:59.000Z
870,1432045,2299,1,BURGLARY,459 PC BURG VEHICLE,2,2C,603,2020-01-10T00:08:30.000Z
872,1432049,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,6,6A,1015,2020-01-12T00:15:00.000Z
875,1432053,2299,1,BURGLARY,459 PC BURG VEHICLE,2,2B,546,2020-01-12T00:18:00.000Z
890,1432078,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6C,1133,2020-01-11T00:11:40.000Z
892,1432080,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6C,1441,2020-01-12T00:05:49.000Z
893,1432081,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,622,2020-01-12T00:07:12.000Z
